metric,value
raw_flattened_rows,881417
rows_after_form_filter,848733
cleaned_rows,448690
rows_removed_by_canonicalization,400043
unique_tickers,30
unique_concepts,3999
value_conflict_groups,21831
value_conflict_rate,0.0487
duplicate_fact_key_rows,0
missing_critical_fields,0
filed_before_end_warning_rows,36
quarantined_entities_detected,1
quarantined_entity_ticker,XOM
verified_entity_resolution_used,1
financial_anomaly_flags,2068
high_priority_anomaly_flags,349
datetime_parse_failures_start,0
datetime_parse_failures_end,0
datetime_parse_failures_filed,0
invalid_numeric_val,0
null_ticker,0
empty_string_ticker,0
whitespace_ticker,0
null_concept,0
empty_string_concept,0
whitespace_concept,0
null_unit,0
empty_string_unit,0
whitespace_unit,0
null_form,0
empty_string_form,0
whitespace_form,0
