ticker,cik,entity_name,concept,label,unit,start,end,val,accn,fy,fp,form,filed,frame
BAC,70858,BofA Finance LLC,CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,Cash Flow Hedge Gain (Loss) to be Reclassified within Twelve Months,USD,2010-01-02,2010-12-31,1200000000.0,0000950123-10-074181,2010.0,Q2,10-Q,2010-08-06,
NKE,320187,"NIKE, Inc.",FutureAmortizationExpenseYearFour,"Future Amortization Expense, Year Four (Deprecated 2012-01-31)",USD,2014-06-01,2015-05-31,6000000.0,0001193125-10-224858,2011.0,Q1,10-Q,2010-10-06,CY2014
NKE,320187,"NIKE, Inc.",FutureAmortizationExpenseYearThree,"Future Amortization Expense, Year Three (Deprecated 2012-01-31)",USD,2013-06-01,2014-05-31,9000000.0,0001193125-10-224858,2011.0,Q1,10-Q,2010-10-06,CY2013
NKE,320187,"NIKE, Inc.",FutureAmortizationExpenseYearTwo,"Future Amortization Expense, Year Two (Deprecated 2012-01-31)",USD,2012-06-01,2013-05-31,11000000.0,0001193125-10-224858,2011.0,Q1,10-Q,2010-10-06,CY2012
HON,773840,Honeywell International Inc,DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets,"Defined Benefit Plan, Assumptions Used Calculating Net Periodic Benefit Cost, Expected Long-term Rate of Return on Plan Assets",pure,2011-01-01,2011-12-31,0.08,0000930413-11-000961,2010.0,FY,10-K,2011-02-11,CY2011
CVX,93410,Chevron Corp,BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,"Business Acquisition, Cost of Acquired Entity, Purchase Price (Deprecated 2013-01-31)",USD,,2011-02-28,4470000000.0,0000950123-11-017688,2010.0,FY,10-K,2011-02-24,CY2011Q1I
BAC,70858,BofA Finance LLC,CommonStockDividendsPerShareDeclared,"Common Stock, Dividends, Per Share, Declared",USD/shares,2011-01-01,2011-12-31,0.01,0000950123-11-018743,2010.0,FY,10-K,2011-02-25,CY2011
MRK,310158,"Merck & Co., Inc.",OperatingLeasesFutureMinimumPaymentsReceivableCurrent,"Operating Leases, Future Minimum Payments Receivable, Current",USD,,2011-12-31,247000000.0,0000950123-11-019286,2010.0,FY,10-K,2011-02-28,CY2011Q4I
MRK,310158,"Merck & Co., Inc.",OperatingLeasesFutureMinimumPaymentsReceivableInFourYears,"Operating Leases, Future Minimum Payments Receivable, in Four Years",USD,,2014-12-31,93000000.0,0000950123-11-019286,2010.0,FY,10-K,2011-02-28,CY2014Q4I
MRK,310158,"Merck & Co., Inc.",OperatingLeasesFutureMinimumPaymentsReceivableInThreeYears,"Operating Leases, Future Minimum Payments Receivable, in Three Years",USD,,2013-12-31,142000000.0,0000950123-11-019286,2010.0,FY,10-K,2011-02-28,CY2013Q4I
